Carrera                              ,Puntaje_Minimo ,Cupos ,Año-Periodo
Estudios_Literarios                  ,      662.8329 ,   37 ,     2016.1
Farmacia                             ,      662.7175 ,   73 ,     2016.1
Filología_e_Idiomas:_Alemán          ,      650.2425 ,   22 ,     2016.1
Filología_e_Idiomas:_Francés         ,      650.4033 ,   22 ,     2016.1
Filología_e_Idiomas:_Inglés          ,      653.6367 ,   44 ,     2016.1
Filosofía                            ,      643.7402 ,   50 ,     2016.1
Física                               ,      690.9480 ,   71 ,     2016.1
Fonoaudiología                       ,      625.3415 ,   70 ,     2016.1
Geografía                            ,      633.1594 ,   47 ,     2016.1
Geología                             ,      725.2180 ,   31 ,     2016.1
Historia                             ,      631.9162 ,   60 ,     2016.1
Ingeniería_Agrícola                  ,      650.1425 ,   68 ,     2016.1
Ingeniería_Agronómica                ,      644.5560 ,   94 ,     2016.1
Ingeniería_Civil                     ,      700.3935 ,  111 ,     2016.1
Ingeniería_de_Sistemas_y_Computación ,      693.8932 ,   94 ,     2016.1
Ingeniería_Eléctrica                 ,      693.7442 ,   58 ,     2016.1
Ingeniería_Electrónica               ,      714.3960 ,   63 ,     2016.1
Ingeniería_Industrial                ,      713.9273 ,   40 ,     2016.1
Ingeniería_Mecánica                  ,      701.0072 ,   78 ,     2016.1
Ingeniería_Mecatrónica               ,      776.7632 ,   41 ,     2016.1
Ingeniería_Química                   ,      692.5187 ,  127 ,     2016.1
Lingüística                          ,      626.1513 ,   40 ,     2016.1
Matemáticas                          ,      671.4806 ,   50 ,     2016.1
Medicina                             ,      749.5229 ,  125 ,     2016.1
Medicina_Veterinaria                 ,      652.9112 ,   53 ,     2016.1
Nutrición_y_Dietética                ,      648.4914 ,   45 ,     2016.1
Odontología                          ,      650.1797 ,   46 ,     2016.1
Psicología                           ,      661.0233 ,   80 ,     2016.1
Química                              ,      671.7002 ,   70 ,     2016.1
Sociología                           ,      641.6500 ,   58 ,     2016.1
Terapia_Ocupacional                  ,      625.2591 ,   60 ,     2016.1
Trabajo_Social                       ,      637.4165 ,   46 ,     2016.1
Zootecnia                            ,      627.2200 ,   55 ,     2016.1
Artes_Plasticas                      ,      608.6616 ,   28 ,     2016.1
Cine_y_Television                    ,      610.7729 ,   28 ,     2016.1
Musica_Composicion                   ,      722.4895 ,    4 ,     2016.1
Musica_Inst_Arpa                     ,      668.1174 ,    1 ,     2016.1
Musica_Inst_Canto                    ,      659.2228 ,    3 ,     2016.1
Musica_Inst_Clarinete                ,      617.6302 ,    1 ,     2016.1
Musica_Inst_Contrabajo               ,      626.8921 ,    3 ,     2016.1
Musica_Inst_Corno                    ,      627.5729 ,    1 ,     2016.1
Musica_Inst_Flauta                   ,      609.4535 ,    1 ,     2016.1
Musica_Inst_Guitarra                 ,      715.6061 ,    3 ,     2016.1
Musica_Inst_Percusion                ,      650.7221 ,    3 ,     2016.1
Musica_Inst_Piano                    ,      679.6985 ,    8 ,     2016.1
Musica_Inst_Saxofon                  ,      631.7758 ,    6 ,     2016.1
Musica_Inst_Trombon                  ,      617.0940 ,    6 ,     2016.1
Musica_Inst_Trompeta                 ,      606.1554 ,    6 ,     2016.1
Musica_Inst_Tuba                     ,      673.0697 ,    6 ,     2016.1
Musica_Inst_Violin                   ,      663.5534 ,    6 ,     2016.1
Musica_Inst_Violonchelo              ,      662.1221 ,    1 ,     2016.1
Administración_de_Empresas           ,      632.2508 ,   75 ,     2016.6
Antropología                         ,      646.0968 ,   45 ,     2016.6
Arquitectura                         ,      653.5468 ,   76 ,     2016.6
Biología                             ,      666.0359 ,   63 ,     2016.6
Ciencia_Política                     ,      625.2211 ,   84 ,     2016.6
Contaduría_Pública                   ,      625.2531 ,   62 ,     2016.6
Derecho                              ,      650.4213 ,   80 ,     2016.6
Diseño_Gráfico                       ,      647.8270 ,   30 ,     2016.6
Diseño_Industrial                    ,      651.1424 ,   48 ,     2016.6
Economía                             ,      650.6005 ,   85 ,     2016.6
Enfermería                           ,      632.9143 ,  100 ,     2016.6
Español_Y_Filología_Clásica          ,      611.4690 ,   36 ,     2016.6
Estadística                          ,      626.9876 ,   60 ,     2016.6
Farmacia                             ,      645.6424 ,   73 ,     2016.6
Filología_e_Idiomas:_Alemán          ,      624.5905 ,   22 ,     2016.6
Filología_e_Idiomas:_Francés         ,      624.3003 ,   22 ,     2016.6
Filología_e_Idiomas:_Inglés          ,      629.2149 ,   46 ,     2016.6
Filosofía                            ,      615.5396 ,   50 ,     2016.6
Física                               ,      640.4432 ,   72 ,     2016.6
Fisioterapia                         ,      631.7110 ,   55 ,     2016.6
Geografía                            ,      613.6194 ,   50 ,     2016.6
Geología                             ,      717.5520 ,   31 ,     2016.6
Ingeniería_Agrícola                  ,      611.8146 ,  105 ,     2016.6
Ingeniería_Agronómica                ,      613.6109 ,  130 ,     2016.6
Ingeniería_Civil                     ,      659.3646 ,  111 ,     2016.6
Ingeniería_de_Sistemas_y_Computación ,      656.6936 ,   97 ,     2016.6
Ingeniería_Eléctrica                 ,      648.9961 ,   56 ,     2016.6
Ingeniería_Electrónica               ,      678.5997 ,   58 ,     2016.6
Ingeniería_Industrial                ,      690.7735 ,   47 ,     2016.6
Ingeniería_Mecánica                  ,      651.6181 ,   80 ,     2016.6
Ingeniería_Mecatrónica               ,      729.1963 ,   40 ,     2016.6
Ingeniería_Química                   ,      650.0629 ,  132 ,     2016.6
Lingüística                          ,      612.3991 ,   40 ,     2016.6
Matemáticas                          ,      641.3670 ,   50 ,     2016.6
Medicina                             ,      736.1282 ,  126 ,     2016.6
Medicina_Veterinaria                 ,      648.3732 ,   54 ,     2016.6
Nutrición_y_Dietética                ,      629.7013 ,   50 ,     2016.6
Odontología                          ,      637.6420 ,   58 ,     2016.6
Psicología                           ,      644.6311 ,   75 ,     2016.6
Química                              ,      638.6426 ,   75 ,     2016.6
Sociología                           ,      625.3833 ,   53 ,     2016.6
Trabajo_Social                       ,      620.2236 ,   47 ,     2016.6
Zootecnia                            ,      615.2132 ,   55 ,     2016.6
Artes_Plasticas                      ,      601.9518 ,   28 ,     2016.6
Cine_y_Televisión                    ,      608.3854 ,   28 ,     2016.6
Música:_Composición                  ,      608.3408 ,    6 ,     2016.6
